Timestamp,Gender,Age Group,Which Chocolate Brand do you prefer?,How Frequently do you buy chocolates?,Which products from your preferred brand do you like the most ? ,"For Cadbury:
According to it's Taste, how would you like to rate it?
","For Nestle:
According to it's Taste, how would you like to rate it ?","For Cadbury:
According to it's Texture, how would you like to rate it ?","For Nestle :
According to it's Texture, how would you like to rate it ?","For Cadbury:
How about the packaging, is it attractive/interesting?  ","For Nestle:
How about the packaging, is it attractive/interesting?  ",Which brand do you consider the best value for its price?,Which Price range do you prefer to buy the most?,What do you like most about chocolate?,Which brand would you like to recommend to your friend ?
03-04-24 12:08,Male,18-25,Nestle,Few times a week,Nestle Kitkat,3,5,4,5,Yes,Yes,Nestle,20-40,Texture,Nestle
03-04-24 18:02,Female,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,5,4,4,4,Yes,Yes,Cadbury,20-40,Mood enhancement,Cadbury
03-04-24 13:48,Female,18-25,Cadbury,Few times a week,Nestle Kitkat,3,3,4,4,Yes,Yes,Nestle,20-40,Taste,Cadbury
03-04-24 14:13,Female,18-25,Nestle,Few times a month,Nestle Kitkat,4,5,4,5,Yes,Yes,Cadbury,20-40,Taste,Nestle
03-04-24 16:37,Male,18-25,Cadbury,Few times a month,Cadbury Silk,4,4,4,4,Yes,Yes,Nestle,20-40,Taste,Cadbury
03-04-24 16:56,Female,18-25,Cadbury,Few times a week,Cadbury Dairy Milk,3,2,2,2,No,No,Cadbury,50-90,Taste,Cadbury
03-04-24 17:30,Male,18-25,Cadbury,Rarely,Cadbury Silk,5,4,5,4,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-04-24 17:47,Male,18-25,Cadbury,Few times a week,Cadbury Dairy Milk,4,4,4,4,Yes,No,Cadbury,100 & above,Taste,Cadbury
03-04-24 18:41,Male,18-25,Cadbury,Rarely,Cadbury Silk,3,3,3,2,No,Yes,Nestle,20-40,Texture,Cadbury
03-04-24 18:52,Female,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,4,5,4,4,Yes,Yes,Nestle,20-40,Taste,Cadbury
03-04-24 19:42,Male,18-25,Nestle,Rarely,Nestle Kitkat,3,3,3,3,No,Yes,Nestle,05-Oct,Package,Nestle
03-04-24 21:00,Male,18-25,Cadbury,Few times a month,Cadbury Bournville,5,4,5,4,Yes,No,Cadbury,20-40,Taste,Cadbury
03-04-24 21:00,Male,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,3,2,3,3,No,No,Cadbury,20-40,Texture,Cadbury
03-04-24 21:10,Male,18-25,Cadbury,Few times a month,Nestle Kitkat,4,3,4,3,No,Yes,Cadbury,20-40,Texture,Cadbury
03-04-24 21:46,Male,18-25,Nestle,Few times a month,Nestle Kitkat,4,5,4,5,Yes,Yes,Nestle,20-40,Taste,Nestle
03-04-24 21:56,Female,18-25,Cadbury,Rarely,Nestle Kitkat,3,3,2,2,Yes,Yes,Cadbury,20-40,Taste,Nestle
03-04-24 21:56,Female,18-25,Cadbury,Rarely,Cadbury Dairy Milk,3,3,4,3,Yes,Yes,Cadbury,20-40,Mood enhancement,Cadbury
03-04-24 22:14,Male,18-25,Nestle,Daily,Nestle Kitkat,1,5,1,5,No,Yes,Nestle,100 & above,Taste,Nestle
03-04-24 22:27,Female,18-25,Cadbury,Few times a month,Cadbury Bournville,4,3,4,4,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-04-24 22:38,Male,18-25,Nestle,Rarely,Nestle Kitkat,3,4,3,3,No,No,Nestle,20-40,Mood enhancement,Nestle
03-05-24 0:31,Male,18-25,Cadbury,Rarely,Cadbury Dairy Milk,4,3,4,4,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 7:13,Female,18-25,Cadbury,Rarely,Cadbury Dairy Milk,4,2,4,2,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 8:27,Male,18-25,Cadbury,Few times a month,Cadbury Silk,4,3,4,3,Yes,Yes,Cadbury,50-90,Taste,Cadbury
03-05-24 8:34,Male,18-25,Cadbury,Few times a week,Cadbury Dairy Milk,5,4,5,5,Yes,Yes,Cadbury,05-Oct,Mood enhancement,Cadbury
03-05-24 8:51,Male,18-25,Nestle,Few times a week,Nestle Kitkat,4,4,4,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 9:11,Male,18-25,Cadbury,Rarely,Cadbury Silk,5,5,5,5,Yes,Yes,Cadbury,50-90,Taste,Cadbury
03-05-24 9:14,Male,18-25,Cadbury,Few times a week,Cadbury Silk,5,4,5,5,Yes,Yes,Nestle,50-90,Taste,Nestle
03-05-24 9:24,Female,26-40,Nestle,Rarely,Nestle Kitkat,3,3,3,3,Yes,Yes,Nestle,20-40,Taste,Nestle
03-05-24 9:25,Female,18-25,Cadbury,Rarely,Cadbury Dairy Milk,5,4,4,5,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 9:26,Male,18-25,Cadbury,Rarely,Cadbury Silk,4,4,4,3,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 9:29,Male,18-25,Nestle,Few times a week,Nestle Kitkat,4,4,4,4,Yes,Yes,Cadbury,20-40,Taste,Nestle
03-05-24 9:29,Female,18-25,Nestle,Few times a week,Nestle Kitkat,4,4,4,4,Yes,Yes,Nestle,05-Oct,Mood enhancement,Nestle
03-05-24 9:36,Male,26-40,Cadbury,Rarely,Cadbury Silk,4,3,4,5,Yes,Yes,Cadbury,20-40,Mood enhancement,Cadbury
03-05-24 9:37,Male,26-40,Cadbury,Few times a week,Cadbury Dairy Milk,4,4,4,4,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 9:40,Male,18-25,Nestle,Few times a month,Nestle Kitkat,4,5,4,5,Yes,Yes,Nestle,20-40,Mood enhancement,Nestle
03-05-24 9:40,Male,18-25,Cadbury,Rarely,Cadbury Silk,5,5,5,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 9:41,Male,18-25,Cadbury,Rarely,Cadbury Silk,4,3,4,5,Yes,Yes,Cadbury,20-40,Mood enhancement,Nestle
03-05-24 9:41,Male,26-40,Nestle,Few times a month,Nestle Kitkat,4,4,3,4,Yes,Yes,Nestle,20-40,Mood enhancement,Nestle
03-05-24 9:45,Female,18-25,Cadbury,Daily,Cadbury Silk,5,5,5,5,Yes,Yes,Cadbury,20-40,Mood enhancement,Cadbury
03-05-24 9:50,Male,18-25,Cadbury,Few times a month,Nestle Kitkat,5,4,5,5,Yes,Yes,Nestle,20-40,Mood enhancement,Cadbury
03-05-24 9:51,Female,18-25,Cadbury,Few times a month,Cadbury Silk,4,3,4,3,Yes,Yes,Cadbury,50-90,Taste,Cadbury
03-05-24 9:52,Female,18-25,Cadbury,Daily,Cadbury Silk,5,5,5,5,Yes,Yes,Cadbury,50-90,Taste,Cadbury
03-05-24 9:54,Male,26-40,Cadbury,Few times a week,Nestle Kitkat,5,3,4,3,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 10:05,Male,18-25,Cadbury,Few times a week,Cadbury Silk,5,3,4,3,Yes,No,Cadbury,20-40,Taste,Cadbury
03-05-24 10:05,Female,18-25,Nestle,Few times a week,Nestle Kitkat,1,1,2,1,Yes,Yes,Nestle,20-40,Texture,Nestle
03-05-24 10:06,Male,18-25,Nestle,Rarely,Nestle Kitkat,4,5,5,5,Yes,Yes,Cadbury,20-40,Taste,Nestle
03-05-24 10:12,Male,18-25,Nestle,Few times a month,Nestle Kitkat,4,4,4,4,No,Yes,Nestle,20-40,Taste,Nestle
03-05-24 10:16,Male,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,5,3,5,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 10:17,Male,18-25,Cadbury,Few times a week,Cadbury Silk,2,3,1,2,Yes,Yes,Cadbury,20-40,Taste,Cadbury
